Ticker
LLY
UNH
JNJ
ABBV
MRK
TMO
ISRG
ABT
DHR
PFE
AMGN
BSX
SYK
BMY
GILD
MDT
VRTX
ELV
CI
ZTS
MCK
REGN
BDX
CVS
HCA
COR
A
EW
GEHC
IDXX
RMD
IQV
HUM
DXCM
CNC
CAH
MTD
WST
WAT
ZBH
STE
BIIB
LH
PODD
COO
DGX
HOLX
MOH
BAX
ALGN
RVTY
VTRS
TECH
INCY
MRNA
UHS
SOLV
HSIC
CRL
TFX
DVA
